Information,file_path,Layer,Short_Name,Label,Group,Sensitive,Source,Merge
"High Value Habitat (Forest, Wetland, Grassland – Overall Biodiversity Areas – Canadian Wildlife Service",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/High_Value_Habitats_Biodiversity_Areas_CWS/BCR12_RCO12.gdb,BCR12_HighValue_BiodiversityArea,HVH_biodiv,Biotic,No,https://data-donnees.az.ec.gc.ca/data/species/establishpartnerships/high-value-habitats-and-high-value-biodiversity-areas-biodiversity-atlas-canadian-wildlife-service-ontario-region/bird-conservation-region-12-high-value-habitats-and-high-value-biodiversity-areas-biodiversity-atlas-canadian-wildlife-service-ontario-region/BCR12_RCO12.gdb.zip,,
"High Value Habitat (Forest, Wetland, Grassland – Overall Biodiversity Areas – Canadian Wildlife Service",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/High_Value_Habitats_Biodiversity_Areas_CWS/BCR12_RCO12.gdb,BCR12_HighValueHabitat_Forest,HVH_for,Biotic,No,https://data-donnees.az.ec.gc.ca/data/species/establishpartnerships/high-value-habitats-and-high-value-biodiversity-areas-biodiversity-atlas-canadian-wildlife-service-ontario-region/bird-conservation-region-12-high-value-habitats-and-high-value-biodiversity-areas-biodiversity-atlas-canadian-wildlife-service-ontario-region/BCR12_RCO12.gdb.zip,,
"High Value Habitat (Forest, Wetland, Grassland – Overall Biodiversity Areas – Canadian Wildlife Service",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/High_Value_Habitats_Biodiversity_Areas_CWS/BCR12_RCO12.gdb,BCR12_HighValueHabitat_Grassland,HVH_grass,Biotic,No,https://data-donnees.az.ec.gc.ca/data/species/establishpartnerships/high-value-habitats-and-high-value-biodiversity-areas-biodiversity-atlas-canadian-wildlife-service-ontario-region/bird-conservation-region-12-high-value-habitats-and-high-value-biodiversity-areas-biodiversity-atlas-canadian-wildlife-service-ontario-region/BCR12_RCO12.gdb.zip,,
"High Value Habitat (Forest, Wetland, Grassland – Overall Biodiversity Areas – Canadian Wildlife Service",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/High_Value_Habitats_Biodiversity_Areas_CWS/BCR12_RCO12.gdb,BCR12_HighValueHabitat_Wetland,HVH_wet,Biotic,No,https://data-donnees.az.ec.gc.ca/data/species/establishpartnerships/high-value-habitats-and-high-value-biodiversity-areas-biodiversity-atlas-canadian-wildlife-service-ontario-region/bird-conservation-region-12-high-value-habitats-and-high-value-biodiversity-areas-biodiversity-atlas-canadian-wildlife-service-ontario-region/BCR12_RCO12.gdb.zip,,
Natural Heritage System,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Natural_Heritage_System/Non_Sensitive.gdb,,NHS,Biotic,No,https://geohub.lio.gov.on.ca/datasets/natural-heritage-system-area,,
Roads,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISProjects/Baselayer Shapefiles/Roads_2021/RoadNetwork_17N_Clipped_kg.shp,,Roads,Infrastructure,No,,,
Trains,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISProjects/Baselayer Shapefiles/OntarioRailwayNetwork_Lio_2019/ORWN_TRACK.shp,,Trains,Infrastructure,No,,,
Utility Lines,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISProjects/Baselayer Shapefiles/HydroLine_lio_2019/Utility_Line/Utility_line_CC_17N.shp,,UtilityLine,Infrastructure,No,,,
Wells,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase - Copy/CouchichingData/WWIS_2025c/wells_in_CC/wells_in_CC_NAD83_17N.shp,,Wells,Infrastructure,No,https://www.ontario.ca/page/map-well-records,,
GBIF Phrag,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/CouchichingData/SpeciesR/GBIF_Phrag_in_CC.shp,,GBIF_Phrag,Biotic,No,https://www.gbif.org/,,
